case,error_sentence,correct_sentence,option_1,option_2,option_3,option_4,correct_option,topics
7,They completely agree with your idea.,They completely agree with your idea.,with,idea,completely,They,3,adjective/adverb collocations
8,"If I will see him, I will tell him the news.","If I saw him, I would tell him the news.",I,will,the,If,2,second conditional
8,She runs more faster than anyone in the class.,She runs faster than anyone in the class.,the,anyone,faster,more,4,comparatives/superlatives (adverbs)
8,Do you know what time does the movie start?,Do you know what time the movie starts?,what,does,know,the,2,indirect/embedded questions
8,They didn't eat because they not finished their work.,They didn't eat because they had not finished their work.,their,not,They,finished,2,past perfect
8,There is less people at the party this year.,There are fewer people at the party this year.,at,is,the,less,4,quantifiers
8,She enjoys to swim in the pool.,She enjoys swimming in the pool.,the,swim,to,in,3,gerunds and infinitives
8,We had the house paint last year.,We had the house painted last year.,the,year,paint,had,3,causative have/get
8,This is the book what I bought yesterday.,This is the book that I bought yesterday.,what,yesterday,book,the,1,relative clauses
8,"I like pizza, however I eat it every day.","I like pizza, but I don't eat it every day.",I,eat,however,it,3,linking words
8,We must look after us.,We must look after ourselves.,after,We,us,must,3,reflexive pronouns (complex)
8,"They won't come, will they not?","They won't come, will they?",not,won't,come,They,1,tag questions (B1)
8,Listen! The birds sings in the garden.,Listen! The birds are singing in the garden.,birds,sings,in,Listen!,2,present continuous vs present simple
9,I wish I was have more time.,I wish I had more time.,wish,more,have,I,3,wish/if only
9,She prepared the dinner by herselfs.,She prepared the dinner by herself.,herselfs,dinner,She,the,1,reflexive pronouns (complex)
9,He decided going abroad last year.,He decided to go abroad last year.,abroad,decided,going,year,3,gerunds and infinitives
9,He should goes to the doctor soon.,He should go to the doctor soon.,He,the,goes,should,3,modals for advice/obligation
9,They said they are tired.,They said they were tired.,they,are,said,tired,2,reported speech
9,They haven't seen him since two weeks.,They haven't seen him for two weeks.,since,seen,haven't,him,1,present perfect (for/since)
9,Do you know what time does the movie start?,Do you know what time the movie starts?,the,does,start,you,2,indirect/embedded questions
9,He deeply angry about the situation.,He is deeply angry about the situation.,the,deeply,about,situation,2,adjective/adverb collocations
9,She is the woman who I met last week.,She is the woman whom I met last week.,last,who,is,week,2,relative clauses
9,"Because he was tired, so he went to bed early.","Because he was tired, he went to bed early.",so,was,Because,he,1,linking words
9,"This time tomorrow, I will working on my project.","This time tomorrow, I will be working on my project.",project,This,tomorrow,working,4,future continuous
9,"If she had money, she buy a new phone.","If she had money, she would buy a new phone.",she,If,had,buy,4,second conditional
10,We must look after us.,We must look after ourselves.,us,must,look,We,1,reflexive pronouns (complex)
10,We had too many informations for the test.,We had too much information for the test.,We,informations,too,for,2,quantifiers
10,I use to play football when I was younger.,I used to play football when I was younger.,when,use,football,play,2,used to/would
10,"If it rains, we would stay home.","If it rained, we would stay home.",would,If,home,stay,1,second conditional
10,They didn't eat because they not finished their work.,They didn't eat because they had not finished their work.,didn't,not,because,They,2,past perfect
10,I wish I was have more time.,I wish I had more time.,time,I,have,was,3,wish/if only
10,I did my homework more quickly as my brother.,I did my homework more quickly than my brother.,my,brother,homework,as,4,comparatives/superlatives (adverbs)
10,She got her hair cutted last week.,She got her hair cut last week.,got,her,cutted,last,3,causative have/get
10,"They won't come, will they not?","They won't come, will they?",will,won't,not,They,3,tag questions (B1)
10,The car is repair now.,The car is being repaired now.,now,repair,car,is,2,passive voice
10,We goes to school every day.,We go to school every day.,goes,day,school,to,1,present continuous vs present simple
10,We ought do more exercise.,We ought to do more exercise.,do,We,ought,more,1,modals for advice/obligation
11,You must to study harder for the test.,You must study harder for the test.,study,must,to,the,3,modals for advice/obligation
11,"If it rains, we would stay home.","If it rained, we would stay home.",home,would,If,we,2,second conditional
11,He deeply angry about the situation.,He is deeply angry about the situation.,about,deeply,the,situation,2,adjective/adverb collocations
11,They haven't seen him since two weeks.,They haven't seen him for two weeks.,since,him,They,seen,1,present perfect (for/since)
11,The man which lives next door is a doctor.,The man who lives next door is a doctor.,man,which,door,The,2,relative clauses
11,She enjoys to swim in the pool.,She enjoys swimming in the pool.,the,enjoys,to,pool,3,gerunds and infinitives
11,They didn't eat because they not finished their work.,They didn't eat because they had not finished their work.,work,eat,not,because,3,past perfect
11,The cake was eat by the children.,The cake was eaten by the children.,cake,eat,The,children,2,passive voice
11,"You have been to London, haven't you not?","You have been to London, haven't you?",not,to,you,haven't,1,tag questions (B1)
11,I had my car repair yesterday.,I had my car repaired yesterday.,had,repair,yesterday,my,2,causative have/get
11,I have little money to buy the ticket.,I have a little money to buy the ticket.,the,little,buy,I,2,quantifiers
11,We goes to school every day.,We go to school every day.,day,goes,to,every,2,present continuous vs present simple
12,There is less people at the party this year.,There are fewer people at the party this year.,is,this,the,less,4,quantifiers
12,I had my car repair yesterday.,I had my car repaired yesterday.,my,repair,had,I,2,causative have/get
12,She told me she see the movie before.,She told me she had seen the movie before.,she,before,movie,see,4,past perfect
12,I want going to the cinema tonight.,I want to go to the cinema tonight.,the,tonight,cinema,going,4,gerunds and infinitives
12,I wish I can speak English fluently.,I wish I could speak English fluently.,fluently,can,wish,I,2,wish/if only
12,"You have been to London, haven't you not?","You have been to London, haven't you?",not,have,haven't,London,1,tag questions (B1)
12,Do you know what time does the movie start?,Do you know what time the movie starts?,does,time,the,what,1,indirect/embedded questions
12,This is the book what I bought yesterday.,This is the book that I bought yesterday.,what,This,the,book,1,relative clauses
12,He did it hisself without any help.,He did it himself without any help.,help,hisself,He,any,2,reflexive pronouns (complex)
12,You must to study harder for the test.,You must study harder for the test.,to,must,for,harder,1,modals for advice/obligation
12,She has worked in this company for January.,She has worked in this company since January.,this,She,for,has,3,present perfect (for/since)
12,They said they are tired.,They said they were tired.,said,are,They,they,2,reported speech
13,The car is repair now.,The car is being repaired now.,repair,now,is,car,1,passive voice
13,They haven't seen him since two weeks.,They haven't seen him for two weeks.,weeks,two,haven't,since,4,present perfect (for/since)
13,She told that she will help us.,She told that she would help us.,will,us,that,she,1,reported speech
13,There is less people at the party this year.,There are fewer people at the party this year.,There,this,less,is,3,quantifiers
13,This is the book what I bought yesterday.,This is the book that I bought yesterday.,the,what,yesterday,This,2,relative clauses
13,"Because he was tired, so he went to bed early.","Because he was tired, he went to bed early.",tired,so,bed,was,2,linking words
13,They completely agree with your idea.,They completely agree with your idea.,completely,idea,They,your,1,adjective/adverb collocations
13,Can you tell me where is the station?,Can you tell me where the station is?,station,is,me,tell,2,indirect/embedded questions
13,I want going to the cinema tonight.,I want to go to the cinema tonight.,tonight,cinema,I,going,4,gerunds and infinitives
13,I wish I can speak English fluently.,I wish I could speak English fluently.,can,I,speak,fluently,1,wish/if only
13,"This time tomorrow, I will working on my project.","This time tomorrow, I will be working on my project.",project,working,tomorrow,I,2,future continuous
13,We used to went to the beach every summer.,We used to go to the beach every summer.,summer,beach,the,went,4,used to/would
14,I have lived here since five years.,I have lived here for five years.,since,have,lived,I,1,present perfect (for/since)
14,He decided going abroad last year.,He decided to go abroad last year.,year,going,last,He,2,gerunds and infinitives
14,Although it was raining but we went outside.,"Although it was raining, we went outside.",but,was,outside,went,1,linking words
14,We had the house paint last year.,We had the house painted last year.,paint,the,We,house,1,causative have/get
14,We goes to school every day.,We go to school every day.,every,goes,to,school,2,present continuous vs present simple
14,This is the book what I bought yesterday.,This is the book that I bought yesterday.,the,bought,what,I,3,relative clauses
14,I did my homework more quickly as my brother.,I did my homework more quickly than my brother.,quickly,more,homework,as,4,comparatives/superlatives (adverbs)
14,The cake was eat by the children.,The cake was eaten by the children.,cake,children,The,eat,4,passive voice
14,They said they are tired.,They said they were tired.,they,said,They,are,4,reported speech
14,Can you tell me where is the station?,Can you tell me where the station is?,is,Can,station,tell,1,indirect/embedded questions
14,She made a big effort hardly to pass the exam.,She made a big effort to pass the exam.,hardly,big,effort,a,1,adjective/adverb collocations
14,I use to play football when I was younger.,I used to play football when I was younger.,use,when,younger,was,1,used to/would
15,She is the woman who I met last week.,She is the woman whom I met last week.,woman,who,met,week,2,relative clauses
15,"When I arrived, she leave the house already.","When I arrived, she had left the house already.",When,I,leave,the,3,past perfect
15,They completely agree with your idea.,They completely agree with your idea.,completely,idea,with,agree,1,adjective/adverb collocations
15,She enjoys to swim in the pool.,She enjoys swimming in the pool.,the,She,to,enjoys,3,gerunds and infinitives
15,Do you know what time does the movie start?,Do you know what time the movie starts?,know,does,the,time,2,indirect/embedded questions
15,The car is repair now.,The car is being repaired now.,The,car,now,repair,4,passive voice
15,Listen! The birds sings in the garden.,Listen! The birds are singing in the garden.,Listen!,The,birds,sings,4,present continuous vs present simple
15,We ought do more exercise.,We ought to do more exercise.,ought,do,exercise,We,2,modals for advice/obligation
15,I wish I was have more time.,I wish I had more time.,was,more,have,time,3,wish/if only
15,They haven't seen him since two weeks.,They haven't seen him for two weeks.,weeks,seen,two,since,4,present perfect (for/since)
15,"If I will see him, I will tell him the news.","If I saw him, I would tell him the news.",the,tell,will,If,3,second conditional
15,She prepared the dinner by herselfs.,She prepared the dinner by herself.,She,the,by,herselfs,4,reflexive pronouns (complex)
